id,member_id,buyer_role,customer_id,ordered_at,volume_month,status
1,1,member,,2026-07-01 00:00:00+00,2026-07-01,completed
2,1,member,,2026-07-01 00:00:00+00,2026-07-01,completed
3,2,member,,2026-07-01 00:00:00+00,2026-07-01,completed
4,2,member,,2026-07-01 00:00:00+00,2026-07-01,completed
5,3,member,,2026-07-01 00:00:00+00,2026-07-01,completed
6,4,retail_customer,1,2026-07-01 00:00:00+00,2026-07-01,completed
7,4,retail_customer,2,2026-07-01 00:00:00+00,2026-07-01,completed
8,5,member,,2026-07-01 00:00:00+00,2026-07-01,completed
9,6,member,,2026-07-01 00:00:00+00,2026-07-01,completed
10,6,member,,2026-07-01 00:00:00+00,2026-07-01,completed
11,7,member,,2026-07-01 00:00:00+00,2026-07-01,completed
12,7,member,,2026-07-01 00:00:00+00,2026-07-01,completed
13,7,member,,2026-07-01 00:00:00+00,2026-07-01,completed
14,7,member,,2026-07-01 00:00:00+00,2026-07-01,completed
15,7,member,,2026-07-01 00:00:00+00,2026-07-01,completed
16,7,member,,2026-07-01 00:00:00+00,2026-07-01,completed
17,7,member,,2026-07-01 00:00:00+00,2026-07-01,completed
18,7,member,,2026-07-01 00:00:00+00,2026-07-01,completed
19,7,member,,2026-07-01 00:00:00+00,2026-07-01,completed
20,7,member,,2026-07-01 00:00:00+00,2026-07-01,completed
21,7,member,,2026-07-01 00:00:00+00,2026-07-01,completed
22,7,member,,2026-07-01 00:00:00+00,2026-07-01,completed
23,8,member,,2026-07-01 00:00:00+00,2026-07-01,completed
24,8,member,,2026-07-01 00:00:00+00,2026-07-01,completed
25,9,member,,2026-07-01 00:00:00+00,2026-07-01,completed
26,9,member,,2026-07-01 00:00:00+00,2026-07-01,completed
27,9,member,,2026-07-01 00:00:00+00,2026-07-01,completed
28,10,member,,2026-07-01 00:00:00+00,2026-07-01,completed
