page,theme,selector,text,foreground,background,font_px,large_text,ratio,floor,verdict
comp-plan.html,light,"span.chip.soon","approved, not built",rgb(180 83 9),rgb(254 243 199),9.6,false,4.51,4.5,pass
library.html,light,"span.tag-soon","Not yet written",rgb(107 114 128),rgb(248 250 252),9.92,false,4.621,4.5,pass
conductor.html,light,"em.q","an ensemble plays, a team sells.",rgb(14 116 144),rgb(231 241 244),16.96,false,4.667,4.5,pass
conductor.html,light,"span.chip.chip-lit","Coming",rgb(14 116 144),rgb(231 241 244),10.56,false,4.667,4.5,pass
library-agent.html,light,"span.sep","/",rgb(107 114 128),rgb(255 255 255),11.84,false,4.834,4.5,pass
shop.html,light,"span.pv-now","0 / 100 PV",rgb(14 116 144),rgb(241 244 250),11.84,false,4.863,4.5,pass
shop.html,light,"span.total-pv-num","0 PV",rgb(14 116 144),rgb(241 244 250),13.76,false,4.863,4.5,pass
comp-plan.html,light,"p.kicker","Section one",rgb(14 116 144),rgb(244 246 251),11.84,false,4.955,4.5,pass
comp-plan.html,light,"a","Back to the top of the brochure",rgb(14 116 144),rgb(244 246 251),16,false,4.955,4.5,pass
conductor.html,light,"p.kicker","The name",rgb(14 116 144),rgb(244 246 251),12.48,false,4.955,4.5,pass
library-agent.html,light,"span.price-pv","100 Personal Volume (PV) a month",rgb(14 116 144),rgb(248 250 252),11.84,false,5.121,4.5,pass
index.html,light,"span.count","12",rgb(14 116 144),rgb(252 253 254),51.2,true,5.238,3,pass
product.html,light,"span.product-pv.pdp-pv","100 PV",rgb(14 116 144),rgb(252 253 254),13.76,false,5.238,4.5,pass
shop.html,light,"span.tier-badge.badge-domain","Domain",rgb(14 116 144),rgb(252 253 254),9.92,false,5.238,4.5,pass
shop.html,light,"span.product-pv","100 PV",rgb(14 116 144),rgb(252 253 254),12.48,false,5.238,4.5,pass
team.html,light,"span.role-tag.tag-human","Human, founder",rgb(14 116 144),rgb(252 253 254),9.92,false,5.238,4.5,pass
team.html,light,"p.phase-num","Phase 1-2",rgb(14 116 144),rgb(252 253 254),11.2,false,5.238,4.5,pass
library.html,dark,"span.tag-soon","Not yet written",rgb(124 138 160),rgb(12 20 36),9.92,false,5.258,4.5,pass
comp-plan.html,light,"p.kicker","Before you start",rgb(14 116 144),rgb(255 255 255),11.84,false,5.358,4.5,pass
conductor.html,light,"p.kicker","The opportunity",rgb(14 116 144),rgb(255 255 255),12.48,false,5.358,4.5,pass
conductor.html,light,"a.btn.btn-solid","See what a Conductor sells",rgb(255 255 255),rgb(14 116 144),13.76,false,5.358,4.5,pass
conductor.html,light,"p.word","Ensemble",rgb(14 116 144),rgb(255 255 255),11.2,false,5.358,4.5,pass
conductor.html,light,"td","20 minutes",rgb(14 116 144),rgb(255 255 255),16,false,5.358,4.5,pass
conductor.html,light,"b","Done when",rgb(14 116 144),rgb(255 255 255),11.52,false,5.358,4.5,pass
index.html,light,"p.kicker","Our story",rgb(14 116 144),rgb(255 255 255),12.48,false,5.358,4.5,pass
